the_geom,match_addr,x coordinate,y coordinate,category,layer
POINT (-118.4012211 34.22914959999965),"8851 Laurel Canyon Blvd, Sun Valley, CA 91352, USA",-118.4012211,34.2291496,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.3302139 34.16413329999965),"300 N Buena Vista St, Burbank, CA 91505, USA",-118.3302139,34.1641333,LA County Cooling Center,coolingcenters
POINT (-118.7990087 34.144548399999636),"31220 Oak Crest Dr, Westlake Village, CA 91361, USA",-118.7990087,34.1445484,LA County Cooling Center,coolingcenters
POINT (-118.38975960000002 34.27136269999964),"11798 Foothill Blvd, Sylmar, CA 91342, USA",-118.3897596,34.2713627,City of LA Pool,la_city_year-round_pools
POINT (-118.26009810000001 34.06976909999963),"1632 Bellevue Ave, Los Angeles, CA 90026, USA",-118.2600981,34.0697691,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.2324237 33.93125669999964),"2250 E 114th St, Los Angeles, CA 90059, USA",-118.2324237,33.9312567,City of LA Recreation Center,la_city_recreation_centers
POINT (-117.9611536 34.002791499999624),"1545 S Stimson Ave, Hacienda Heights, CA 91745, USA",-117.9611536,34.0027915,LA County Cooling Center,coolingcenters
POINT (-118.3039273 33.902928499999625),"14112 Kingsley Dr, Gardena, CA 90249, USA",-118.3039273,33.9029285,LA County Cooling Center,coolingcenters
POINT (-118.4067137 33.993834599999644),"5072 S Slauson Ave, Los Angeles, CA 90230, USA",-118.4067137,33.9938346,City of LA Recreation Center,la_city_recreation_centers
POINT (-117.9724469 34.572772999999664),"8773 E Avenue R, Littlerock, CA 93543, USA",-117.9724469,34.572773,LA County Cooling Center,coolingcenters
POINT (-118.24727170000001 33.99443009999964),"5306 Compton Ave, Los Angeles, CA 90011, USA",-118.2472717,33.9944301,City of LA Recreation Center,la_city_recreation_centers
POINT (-117.78282610000001 34.04916099999963),"1808 W 9th St, Pomona, CA 91766, USA",-117.7828261,34.049161,LA County Cooling Center,coolingcenters
POINT (-118.37075679999998 33.7707746999996),"701 Silver Spur Rd, Rolling Hills Estates, CA 90274, USA",-118.3707568,33.7707747,LA County Cooling Center,coolingcenters
POINT (-118.24731730000002 33.99013329999961),"5790 Compton Ave, Los Angeles, CA 90011, USA",-118.2473173,33.9901333,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.3729288 34.187151099999646),"11117 Victory Blvd, North Hollywood, CA 91606, USA",-118.3729288,34.1871511,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.3350339 34.10336499999961),"6671 Yucca St, Los Angeles, CA 90028, USA",-118.3350339,34.103365,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.6402736 34.21823929999964),"23600 Roscoe Blvd, West Hills, CA 91304, USA",-118.6402736,34.2182393,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.35082300000002 33.96345599999964),"111 N Locust St, Inglewood, CA 90301, USA",-118.350823,33.963456,LA County Cooling Center,coolingcenters
POINT (-118.43853550000001 34.265630399999644),"10736 Laurel Canyon Blvd, Pacoima, CA 91331, USA",-118.4385355,34.2656304,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.44805200000002 34.05323179999963),"1350 S Sepulveda Blvd, Los Angeles, CA 90025, USA",-118.448052,34.0532318,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.216267 34.04148139999963),"415 S St Louis St, Los Angeles, CA 90033, USA",-118.216267,34.0414814,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.61457070000002 34.25787599999964),"22360 Devonshire St, Chatsworth, CA 91311, USA",-118.6145707,34.257876,City of LA Recreation Center,la_city_recreation_centers
POINT (-117.91313120000001 34.126660199999634),"320 N Orange Ave, Azusa, CA 91702, USA",-117.9131312,34.1266602,LA County Cooling Center,coolingcenters
POINT (-117.90069900000002 34.00975179999965),"515 Deepmead Ave, La Puente, CA 91744, USA",-117.900699,34.0097518,LA County Cooling Center,coolingcenters
POINT (-118.31979900000002 33.73008469999962),"1920 Cumbre Dr, San Pedro, CA 90732, USA",-118.319799,33.7300847,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.21126880000001 34.075679299999635),"2911 Altura St, Los Angeles, CA 90031, USA",-118.2112688,34.0756793,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.15409650000001 33.92825159999964),"7810 Quill Dr, Downey, CA 90242, USA",-118.1540965,33.9282516,LA County Cooling Center,coolingcenters
POINT (-118.2050543 34.09782049999963),"4580 N Figueroa St, Los Angeles, CA 90065, USA",-118.2050543,34.0978205,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.21280880000002 34.05301839999964),"716 N State St, Los Angeles, CA 90033, USA",-118.2128088,34.0530184,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.04656520000002 34.04691659999963),"1556 Central Ave, South El Monte, CA 91733, USA",-118.0465652,34.0469166,LA County Cooling Center,coolingcenters
POINT (-118.12808619999998 34.065705599999646),"400 W Emerson Ave, Monterey Park, CA 91754, USA",-118.1280862,34.0657056,LA County Cooling Center,coolingcenters
POINT (-118.3187296 33.990642199999634),"5720 2nd Ave, Los Angeles, CA 90043, USA",-118.3187296,33.9906422,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.4416851 34.227484599999634),"8600 Hazeltine Ave, Panorama City, CA 91402, USA",-118.4416851,34.2274846,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.24800259999999 33.967811499999634),"7807 Compton Ave, Los Angeles, CA 90001, USA",-118.2480026,33.9678115,LA County Cooling Center,coolingcenters
